area_name,gn_number,total,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89,90_94,95_plus,district,gn_name_pop,name_norm,Name,gn_name_boundary,pop_name_count,bnd_name_count,match_status,final_boundary_name
Kalagahakivula,139F,531,48,54,31,43,34,51,50,41,34,26,32,21,26,9,18,8,2,2,1,0,Monaragala,Kalagahakivula,kalagahakivula,Kalagahakivula,Kalagahakivula,1,1,AUTO_MATCH_OK,
Madugasmulla,132A,842,79,72,63,65,62,79,72,53,45,46,73,51,31,20,16,10,3,1,1,0,Monaragala,Madugasmulla,madugasmulla,Madugasmulla,Madugasmulla,1,1,AUTO_MATCH_OK,
Ranugalla,135B,1179,107,96,104,99,87,84,79,77,69,83,95,78,45,34,11,10,14,3,3,1,Monaragala,Ranugalla,ranugalla,Ranugalla,Ranugalla,1,1,AUTO_MATCH_OK,
Ethpattiya,136A,563,45,50,45,54,28,24,34,42,45,38,45,24,30,22,13,13,8,3,0,0,Monaragala,Ethpattiya,ethpattiya,Ethpattiya,Ethpattiya,1,1,AUTO_MATCH_OK,
Miyanakadura,136,1453,138,147,131,106,69,106,104,109,84,99,88,90,78,44,27,18,9,4,1,1,Monaragala,Miyanakadura,miyanakadura,Miyanakadura,Miyanakadura,1,1,AUTO_MATCH_OK,
Dewathura,136B,1620,215,152,130,94,107,113,107,90,86,125,103,78,74,69,39,23,5,4,6,0,Monaragala,Dewathura,dewathura,Dewathura,Dewathura,1,1,AUTO_MATCH_OK,
Naranwatta,138C,534,49,56,41,40,30,42,43,39,38,38,27,18,16,20,13,14,5,2,2,1,Monaragala,Naranwatta,naranwatta,Naranwatta,Naranwatta,1,1,AUTO_MATCH_OK,
Athala,139,907,84,70,76,71,63,74,74,65,54,63,56,59,50,20,11,5,6,6,0,0,Monaragala,Athala,athala,Athala,Athala,1,1,AUTO_MATCH_OK,
Ettalamulla,139C,453,42,40,33,41,30,46,32,25,31,35,30,24,14,16,6,7,1,0,0,0,Monaragala,Ettalamulla,ettalamulla,,,1,,UNMATCHED,Ettalamulla
Muthukeliyawa,139B,1182,103,91,90,121,84,93,85,92,90,67,87,60,43,21,29,13,10,0,1,2,Monaragala,Muthukeliyawa,muthukeliyawa,Muthukeliyawa,Muthukeliyawa,1,1,AUTO_MATCH_OK,
Meegahayaya,139D,486,38,33,49,53,43,26,38,30,33,41,40,25,19,6,6,3,2,1,0,0,Monaragala,Meegahayaya,meegahayaya,Meegahayaya,Meegahayaya,1,1,AUTO_MATCH_OK,
Bogahapelessa,138,519,41,53,36,44,47,44,41,33,33,38,40,31,9,13,10,3,2,1,0,0,Monaragala,Bogahapelessa,bogahapelessa,Bogahapelessa,Bogahapelessa,1,1,AUTO_MATCH_OK,
Dambagahawela,137A,553,41,46,41,43,42,43,32,42,38,42,36,38,26,18,13,6,4,1,0,1,Monaragala,Dambagahawela,dambagahawela,Dambagahawela,Dambagahawela,1,1,AUTO_MATCH_OK,
Hingurukaduwa,137,827,102,80,59,56,49,73,80,65,48,44,43,49,42,17,9,5,2,3,0,1,Monaragala,Hingurukaduwa,hingurukaduwa,Hingurukaduwa,Hingurukaduwa,1,1,AUTO_MATCH_OK,
Keliwessa,137B,818,95,60,49,49,52,69,75,63,49,55,51,49,38,31,14,8,6,2,2,1,Monaragala,Keliwessa,keliwessa,Keliwessa,Keliwessa,1,1,AUTO_MATCH_OK,
Moratuwagama,138A,469,48,45,34,28,23,35,35,40,28,30,37,27,19,17,12,8,2,1,0,0,Monaragala,Moratuwagama,moratuwagama,Moratuwagama,Moratuwagama,1,1,AUTO_MATCH_OK,
Lunugala Colony,138B,1438,122,130,93,115,110,128,114,111,100,89,106,74,50,41,25,17,4,6,1,2,Monaragala,Lunugala Colony,lunugala colony,Lunugala Colony,Lunugala Colony,1,1,AUTO_MATCH_OK,
Katugahagalge,139G,1603,154,123,109,153,123,145,141,106,83,113,93,93,60,39,27,16,15,8,1,1,Monaragala,Katugahagalge,katugahagalge,Katugahagalge,Katugahagalge,1,1,AUTO_MATCH_OK,
Kurugama,153,1678,165,140,134,135,132,163,166,103,120,104,92,79,70,35,15,14,6,2,1,2,Monaragala,Kurugama,kurugama,Kurugama,Kurugama,1,1,AUTO_MATCH_OK,
Randeniya,153A,1700,190,137,135,115,92,105,170,152,116,104,106,94,77,42,25,29,3,5,0,3,Monaragala,Randeniya,randeniya,Randeniya,Randeniya,1,1,AUTO_MATCH_OK,
Siyambalagunaya,153B,1556,165,127,119,125,124,111,129,130,118,89,86,71,55,41,28,19,10,7,0,2,Monaragala,Siyambalagunaya,siyambalagunaya,Siyambalagunaya,Siyambalagunaya,1,1,AUTO_MATCH_OK,
Sudupanawela,152C,2421,223,209,175,183,185,205,227,184,161,164,130,133,109,53,28,25,19,6,0,2,Monaragala,Sudupanawela,sudupanawela,Sudupanawela,Sudupanawela,1,1,AUTO_MATCH_OK,
