GN_code,Name,dist_to_nearest_hospital_km,nearest_hospital_id,dist_to_nearest_school_km,nearest_school_id
0,Daragala,1.3234120316253162,2915434805,2.292778513485647,9770272743
1,Dambana,12.691232766852483,4265986683,4.841411561005245,6594587260
2,Ella,0.15121585173903682,11425573259,0.8994268995002388,13457718001
3,Wewatta,14.921098538309046,5400935336,12.010676602957643,6594587260
4,Kukulapola,16.998996369061842,4265986683,4.504211993190568,6594587260
5,Gampaha2,3.3102333834880024,10618470666,3.2431442443283753,10618470687
6,Umankandura,0.6317456800643949,1818771616,2.0060404442710054,6558184526
7,Thelbedda Estate,5.32284428526467,3298298268,4.490026618836997,6528026976
8,Pahalayalkumbura,2.9400495787175083,2905118777,1.602989635682028,2921376820
9,Kebillewela South,3.686709824969426,1993203085,1.4520380191949789,1819858023
10,Doolgolla,2.9258447645578833,11425549204,1.6112486649920776,3596023117
11,Welampele,11.091351376872371,1974694453,3.174855421677674,5578246161
12,Serana,6.68066086540864,1974694453,3.364492509564987,1974709638
13,Ketawatta,5.03042382183085,3778409802,2.499916930027333,2902114409
14,Karandagahamada,9.396597636178766,3778409802,3.493961792101817,2902110870
15,Dehigolla,4.515800965918321,1974694453,1.6461215784156682,1974709638
16,Hunuketapitiya,2.6038674296759745,3778409802,2.507513216278564,3778409357
17,Morahela,4.779142776377467,3778409802,4.541463144362563,3778409357
18,Kohana,4.050425427478876,3778409802,1.7605537765577512,2902114409
19,Ellanda1,7.143795071229878,3778409802,4.51320738065942,2902114409
20,Galporuyaya,4.6641159461395825,4265986683,7.086446860894551,5578246161
21,Beligalla,10.508997131166696,4265986683,1.1982263815574907,5578246161
22,Balagala,1.315264011256391,9785764862,1.2510089182461164,9790618907
23,Wewelhinna,6.203441505513908,11425573259,0.9679765719301612,2078581451
24,Uduwara,5.912199216527634,7086354795,3.0284685324611873,2078581451
25,Kumarapattiya,0.9795717507592665,6365304598,1.9624880295793856,10677516870
26,Vidurupola,2.0922072392398885,9793173329,1.9126568169973892,11254370023
27,Karagahawela,2.660454330162853,1818771616,0.18617093851502853,6458271736
28,Pallegama2,1.273343650267614,1945644723,1.1820494683962472,1945644574
29,Kirawanagama2,1.6144444404298042,10618470666,1.5385049906835828,10618470687
30,Hettipola,0.530865942643257,11966368769,0.934918492407417,12592561901
31,Panketiya,2.1230800677691186,1818771616,2.0502007743359845,1993203439
32,Pitapola,2.918119492590304,10110608400,3.065228420943725,1821277179
33,Thuppitiya,5.877797268479189,10618470666,5.576878824562049,1819855798
34,Dodamwatta,0.9297764932529052,1818771616,1.5887166499303063,6458271736
35,Hali-Ela,4.68364507642119,13084509423,2.9982571805069576,6815543140
36,Nedungamuwa,2.3255464483686428,9772452559,0.4385985184235678,6634800273
37,Landegama,0.8120237092940928,9793151062,0.18047215813173645,6634814556
38,Kanahela,0.8380282742550352,1945644723,0.9363885753302069,1945644574
39,Boliyadda,1.5662149484186525,3778409802,1.7543512896587827,3778409357
40,Weragoda,3.5634721552622093,4921735461,11.038456168527043,4561223836
41,Welanhinna,3.468753763346935,1818771616,2.185037565505434,6558184526
42,Uva Mahawela,1.4530105361702585,1819855346,1.4504024344662136,6815543140
43,Dambavinna,1.117565440268032,2905118777,0.6700803750186622,2921334809
44,Thalakumbura,8.585680146615848,10618470666,7.424587582409757,5398371669
45,Kirivehera,11.018340069653972,3778409802,4.895030302600099,3769286186
46,Lunugala Town,0.4007640185574662,4921735461,11.622824681147142,6528039309
47,Kudalunuka,7.176965884654148,5400935336,12.905116989309652,5578246161
48,Abhayapura,7.85508601101512,8637057563,4.372155456171512,4561229190
49,Dowa,2.972590073019788,11966368769,1.5816423623114118,6458423923
50,Gamakumbura South,4.885832059007945,5400935336,8.000726389061985,4561229190
51,Hinnarangolla1,1.3294551740247273,10110608400,1.4770129146944468,1821277179
52,Udakendagolla,2.6055206642640143,10110608400,2.6644127341433594,1821277179
53,Jayaminipura,2.175765204621267,1818771616,1.2866049006519966,6558184526
54,Gawarawela,4.004218531331568,11425573259,2.6887651175083573,2078581451
55,Dambewela,3.1089293685552852,1945644723,3.138640362632383,1945644574
56,Makulella,0.6727666912241006,11425549204,3.0027047456953353,3596023117
57,Udaperuwa1,3.2323875188626014,11425549204,0.5589931184105634,3596023117
58,Haputhale Town,0.48218521094759925,13569933830,0.5721629571689653,5378347102
59,Puhulwatta,2.1317018895924056,1945644723,2.237583785112634,1945644574
60,Ethkandawaka,1.6773487958952533,9774873911,1.8731030004062905,10677516870
61,Egodagama,2.007581962078995,11425549204,1.7213946163491047,3596023117
62,Bambaragama,1.2672130456956245,11425549204,4.0392883928825665,4999523726
63,Ellanda2,5.422662867311342,10618470666,5.361726042532488,10618470687
64,Hulankapolla,5.173518557258779,9793173329,1.9343054014324161,11254370023
65,Panagoda,4.326938047421209,10618470666,4.372127992586784,10618470687
66,Koradekumbura,3.587480688930813,2524559835,4.576713147247849,11254370023
67,Ambathenna,2.7819244966329952,1945644723,2.749586683544052,1945644574
68,Gonagala East,1.8891538321965653,1945644723,1.9839117663293349,1945644574
69,Beraliyapola,0.6562092227404551,10618470666,0.5979030826008614,10618470687
70,Galedanda,2.8130350396580956,10110608400,2.8017917113514152,1821277179
71,Guruthalawa,0.899923151289963,9772452559,0.984622268674807,1820038315
72,Nikapotha East,2.882776675841599,1993203376,2.8057924421775167,5378347102
73,Ranasinghegama,2.127122144824529,9608017983,3.0795383349200525,1993203460
74,Harankahawa,9.76603977203954,13569933830,2.50265118271157,1712897670
75,Watagamuwa1,3.9715104212556147,11966368769,0.40558627399036173,6458423923
76,Mahakanda,3.7258891849928824,9608017983,3.6945093491588343,1993203096
77,Haputhalegama,2.835924751409986,13569933830,2.5387227790476645,1993203238
78,Pitarathmale,2.4801067883767876,1993203085,1.3630899780312176,1993203439
79,Rathamba,0.9064153062656795,6365304598,2.0761591246697053,4799050971
80,Seelathenna,9.666621472483804,3874862041,2.055218513125651,1712897670
81,Manthenna,5.295308399379927,13569933830,1.8740220000970855,7994210817
82,Kithulgahaarawa,8.293629846197454,13569933830,2.0618189526065116,1712897670
83,Bibilegama East,4.804985367525859,1945644723,3.3573853615214495,5599326514
84,Maussagolla East,3.6009462012676674,1945644723,3.6744440863471772,1945644574
85,Poojanagaraya,0.7310754976926338,8637057563,2.289409511488267,2235191852
86,Senanigama,3.816827349957745,8637057563,1.8227567884445801,4561229190
87,Kanawerella East,5.6252588083455475,1945644723,4.21820143206242,5599326514
88,Mugunumatha West,4.47898830351224,1819855346,1.8189211677935533,6815543140
89,Pangaragammana,5.040667437845859,8637057563,1.5994927153818468,4561229190
90,Divulapelessa,7.432774045476735,8637012205,21.92731698833192,6594587260
91,We Eliya,10.237197919630098,13569933830,5.08342747562804,1712897670
