Name,Edu_Count,Health_Count
Hulandawa Left,0,0
Hulandawa South,0,0
Hulankapolla,0,0
Hunuketapitiya,0,0
Icelab Watta,0,0
Idamegama1,0,0
Idamegama2,0,0
Idamegama3,0,6
Idamegama4,0,0
Idamepanguwa,0,0
Ihawa,0,0
Ikiriyagoda,0,0
Ilukkumbura,0,0
Iluklanda,0,0
Ilukpelessa,0,0
Ilukthenna,0,0
Ilukwela,0,0
Imbulgoda,0,0
Indigasella,0,0
Indikolapelessa,0,0
Inginiyagala,1,0
Inikambedda,0,0
Janathapura,0,0
Janathapura North,0,0
Janathapura South,0,0
Jangulla,0,0
Jayaminipura,0,0
Kabillegama,0,0
Kahagolla,0,0
Kahakurullan Pelessa,0,0
Kahambana,0,0
Kahataruppa,0,0
Kahattewela,1,0
Kailagoda,0,0
Kalagahakivula,0,0
Kalubululanda,0,0
Kalugahakandura,0,0
Kalugahawadiya,0,0
Kalugollayaya,0,0
Kalupahana,0,0
Kanahela,0,0
Kanawegalla,0,0
Kanawerella,0,0
Kanawerella East,0,0
Kanawerella West,0,0
Kandakepoo Ulpotha,2,0
Kandaketiya,0,0
Kandana,0,0
Kandasurindugama,0,0
Kandegama,0,0
Kandegedara Town,0,0
Kandepuhulpola,0,0
Kandiyapitawewa,0,0
Kandubedda,0,0
Kanulwela,0,0
Kanupelella,0,0
Karagahaulpatha,0,0
Karagahawela,1,0
Karagahawela East,0,0
Karagahawela West,0,0
Karagasthenna,0,0
Karambagoda,0,0
Karametiya,0,0
Karandagahamada,0,0
Karandagama,0,0
Karandagolla,0,0
Karandugala,0,0
Karavila,0,0
Karavile,0,0
Katharagama,0,0
Katugaha,0,0
Katugahagalge,0,0
Katupelella,0,0
Katupilagama,0,0
Kavudella,0,0
Kawdawa,0,0
Kebillewela North,0,0
Kebillewela South,0,0
Keenagoda,0,0
Kehel Attawala,0,0
Kelipanawela,0,0
Keliwessa,0,0
Kendagolla1,1,0
Kendagolla2,0,0
Kendavinna,0,0
Keppetipola,0,0
Kerklis,0,0
Keselpotha North,0,0
Keselpotha South,0,0
Ketagoda,0,0
Ketakella,0,0
Ketakellagama,0,0
Ketawala,0,0
Ketawatta,0,0
Kimbulawela,0,0
Kindigoda,0,0
Kinigama,0,0
Kinnarabowa,0,0
