area_name,gn_number,total,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89,90_94,95_plus,district,gn_name_pop,name_norm,Name,gn_name_boundary,pop_name_count,bnd_name_count,match_status,final_boundary_name,children,working,elderly,p_children,p_working,p_elderly_60plus,dependency_ratio,preschool,primary,junior_secondary,senior_secondary_plus,total_school_age,working_age_15_59,p_preschool,p_primary,p_junior_sec,p_senior_plus,p_school_age,education_dependency_ratio,elderly_65plus,p_elderly,Edu_Count,Health_Count,name_key,n_polygons,dist_hospital_km,dist_school_km,dist_hospital_max,dist_school_max,cluster_kmeans,priority_education,priority_health,priority_dual
Rotalawela,1M,1878,183,174,168,167,161,162,162,146,128,106,96,75,63,42,22,11,7,3,0,2,Badulla,Rotalawela,rotalawela,Rotalawela,Rotalawela,1,1.0,AUTO_MATCH_OK,,525,1203,150,27.95527156549521,64.05750798722045,7.987220447284344,56.10972568578554,183,174,168,167,692,1203,9.744408945686901,9.26517571884984,8.945686900958465,8.892438764643238,36.84771033013845,57.522859517871986,87,4.63258785942492,0.0,0.0,rotalawela,1.0,7.46794948256883,23.688867401063387,7.46794948256883,23.688867401063387,1,True,False,True
Divulapelessa,1C,2167,222,211,178,156,141,211,220,165,134,117,132,113,69,48,23,15,6,3,0,3,Badulla,Divulapelessa,divulapelessa,Divulapelessa,Divulapelessa,1,1.0,AUTO_MATCH_OK,,611,1389,167,28.195662205814493,64.09783110290725,7.706506691278264,56.011519078473725,222,211,178,156,767,1389,10.244577757268113,9.736963544070143,8.214120904476234,7.198892478080296,35.39455468389478,55.21958243340532,98,4.522381172127365,0.0,0.0,divulapelessa,1.0,7.432774045476735,21.92731698833192,7.432774045476735,21.92731698833192,0,False,False,False
Aluyatawela,1I,1900,178,190,146,128,135,168,189,127,120,125,128,97,63,39,33,19,6,5,1,3,Badulla,Aluyatawela,aluyatawela,Aluyatawela,Aluyatawela,1,1.0,AUTO_MATCH_OK,,514,1217,169,27.052631578947366,64.05263157894737,8.894736842105264,56.1216105176664,178,190,146,128,642,1217,9.368421052631579,10.0,7.684210526315789,6.7368421052631575,33.78947368421053,52.75267050123254,106,5.578947368421053,0.0,0.0,aluyatawela,1.0,3.7340627805235,20.784076707726392,3.7340627805235,20.784076707726392,0,False,False,False
Theldeniyaya,1L,2014,197,208,174,154,166,177,138,134,131,148,133,84,78,46,26,9,7,3,1,0,Badulla,Theldeniyaya,theldeniyaya,Theldeniyaya,Theldeniyaya,1,1.0,AUTO_MATCH_OK,,579,1265,170,28.74875868917577,62.8103277060576,8.440913604766633,59.209486166007906,197,208,174,154,733,1265,9.781529294935453,10.327706057596822,8.639523336643496,7.646474677259185,36.39523336643495,57.944664031620555,92,4.568023833167826,0.0,0.0,theldeniyaya,1.0,4.460993003594589,17.676640754620326,4.460993003594589,17.676640754620326,0,False,False,False
Hebarawa,1A,1581,132,130,154,128,112,136,116,117,113,111,100,88,61,38,27,9,5,2,1,1,Badulla,Hebarawa,hebarawa,Hebarawa,Hebarawa,1,1.0,AUTO_MATCH_OK,,416,1021,144,26.31246046805819,64.57938013915243,9.108159392789373,54.84818805093046,132,130,154,128,544,1021,8.349146110056926,8.222643896268185,9.740670461733082,8.096141682479443,34.40860215053764,53.28109696376102,83,5.249841872232764,0.0,0.0,hebarawa,1.0,1.635648353483118,18.585351907349978,1.635648353483118,18.585351907349978,1,False,False,False
Ginnoruwa,1J,1364,141,102,98,95,84,120,139,99,84,69,72,97,67,44,30,18,3,0,1,1,Badulla,Ginnoruwa,ginnoruwa,Ginnoruwa,Ginnoruwa,1,1.0,AUTO_MATCH_OK,,341,859,164,25.0,62.976539589442815,12.023460410557185,58.78928987194412,141,102,98,95,436,859,10.337243401759531,7.47800586510264,7.184750733137831,6.964809384164222,31.964809384164223,50.756693830034926,97,7.111436950146628,0.0,0.0,ginnoruwa,1.0,2.1444101388693886,16.514523758363257,2.1444101388693886,16.514523758363257,1,False,False,False
Belaganwewa,1G,1879,197,172,104,151,154,206,169,100,99,104,135,107,88,42,19,15,10,2,1,4,Badulla,Belaganwewa,belaganwewa,Belaganwewa,Belaganwewa,1,1.0,AUTO_MATCH_OK,,473,1225,181,25.172964342735497,65.1942522618414,9.632783395423097,53.38775510204081,197,172,104,151,624,1225,10.484300159659393,9.153805215540181,5.534858967535923,8.036189462480042,33.20915380521554,50.93877551020408,93,4.94944119212347,0.0,0.0,belaganwewa,1.0,3.858567016885736,15.073137663260072,3.858567016885736,15.073137663260072,1,False,False,False
Ulhitiya,1R,1832,166,180,130,142,158,185,181,116,100,101,129,87,68,49,15,14,7,2,0,2,Badulla,Ulhitiya,ulhitiya,Ulhitiya,Ulhitiya,1,1.0,AUTO_MATCH_OK,,476,1199,157,25.982532751091703,65.4475982532751,8.569868995633188,52.79399499582986,166,180,130,142,618,1199,9.06113537117904,9.82532751091703,7.096069868995633,7.751091703056769,33.73362445414847,51.54295246038365,89,4.858078602620088,0.0,0.0,ulhitiya,1.0,5.350666841058838,14.88037559652309,5.350666841058838,14.88037559652309,1,False,False,False
Pahala Rathkinda,1D,2502,257,247,243,216,184,249,220,178,183,114,126,113,72,47,19,18,7,6,0,3,Badulla,Pahala Rathkinda,pahala rathkinda,Pahala Rathkinda,Pahala Rathkinda,1,1.0,AUTO_MATCH_OK,,747,1583,172,29.856115107913666,63.269384492406076,6.874500399680255,58.05432722678459,257,247,243,216,963,1583,10.271782573940849,9.872102318145485,9.712230215827338,8.633093525179856,38.489208633093526,60.83385975994946,100,3.996802557953637,0.0,0.0,pahalarathkinda,1.0,4.280069296448644,10.8821843747324,4.280069296448644,10.8821843747324,0,True,False,True
Hobariyawa,1N,2395,212,204,208,214,172,222,204,169,149,136,139,104,107,76,37,20,9,6,3,4,Badulla,Hobariyawa,hobariyawa,Hobariyawa,Hobariyawa,1,1.0,AUTO_MATCH_OK,,624,1509,262,26.05427974947808,63.0062630480167,10.939457202505219,58.714380384360496,212,204,208,214,838,1509,8.851774530271399,8.517745302713987,8.684759916492693,8.935281837160751,34.98956158663883,55.53346587143804,155,6.471816283924843,0.0,0.0,hobariyawa,1.0,2.67261926975827,12.28948820858532,2.67261926975827,12.28948820858532,1,False,False,False
Millattawa,1P,2494,281,212,204,177,179,242,239,169,167,161,138,105,85,54,43,16,11,9,1,1,Badulla,Millattawa,millattawa,Millattawa,Millattawa,1,1.0,AUTO_MATCH_OK,,697,1577,220,27.947072975140337,63.231756214915805,8.821170809943865,58.14838300570704,281,212,204,177,874,1577,11.267040898155575,8.500400962309543,8.179631114675221,7.097032878909383,35.04410585404972,55.42168674698795,135,5.41299117882919,0.0,0.0,millattawa,1.0,1.1183690445540948,11.49488952356164,1.1183690445540948,11.49488952356164,0,False,False,False
Viranegama,1E,1652,159,163,121,112,94,142,156,117,93,89,117,107,87,51,26,10,3,3,2,0,Badulla,Viranegama,viranegama,Viranegama,Viranegama,1,1.0,AUTO_MATCH_OK,,443,1027,182,26.815980629539954,62.167070217917676,11.016949152542372,60.85686465433301,159,163,121,112,555,1027,9.624697336561743,9.86682808716707,7.324455205811138,6.779661016949152,33.595641646489106,54.040895813047705,95,5.750605326876514,0.0,0.0,viranegama,1.0,3.8232723965473263,13.371753511547086,3.8232723965473263,13.371753511547086,0,False,False,False
Aluttarama,1H,1567,144,132,114,125,112,159,155,110,83,103,89,94,74,34,23,13,3,0,0,0,Badulla,Aluttarama,aluttarama,Aluttarama,Aluttarama,1,1.0,AUTO_MATCH_OK,,390,1030,147,24.88832163369496,65.73069559668156,9.380982769623484,52.13592233009708,144,132,114,125,515,1030,9.189534141671984,8.423739629865985,7.275047862156987,7.97702616464582,32.86534779834078,50.0,73,4.6585832801531595,0.0,0.0,aluttarama,1.0,4.187107091962489,10.464820031535265,4.187107091962489,10.464820031535265,1,False,False,False
Girandurukotte,1F,4027,384,444,348,340,287,356,345,342,278,266,218,175,92,53,36,29,15,12,6,1,Badulla,Girandurukotte,girandurukotte,Girandurukotte,Girandurukotte,1,1.0,AUTO_MATCH_OK,,1176,2607,244,29.202880556245344,64.73801837596226,6.059101067792402,54.46873801304181,384,444,348,340,1516,2607,9.53563446734542,11.02557735286814,8.641668736031786,8.443009684628757,37.6458902408741,58.15113156885309,152,3.774521976657561,0.0,0.0,girandurukotte,1.0,3.678996770948531,7.551646210880349,3.678996770948531,7.551646210880349,0,False,False,False
Bathalayaya,1,3196,330,280,259,259,238,243,320,258,244,184,149,139,121,79,42,23,17,10,1,0,Badulla,Bathalayaya,bathalayaya,Bathalayaya,Bathalayaya,1,1.0,AUTO_MATCH_OK,,869,2034,293,27.190237797246557,63.64205256570713,9.167709637046308,57.12881022615536,330,280,259,259,1128,2034,10.325406758448059,8.760951188986233,8.103879849812264,8.103879849812264,35.294117647058826,55.45722713864307,172,5.381727158948686,0.0,0.0,bathalayaya,1.0,5.307587411332036,8.324457102610143,5.307587411332036,8.324457102610143,1,False,False,False
Haddattawa,2A,2023,158,158,160,173,156,170,166,166,161,129,117,112,82,46,23,27,14,3,2,0,Badulla,Haddattawa,haddattawa,Haddattawa,Haddattawa,1,1.0,AUTO_MATCH_OK,,476,1350,197,23.52941176470588,66.73257538309441,9.738012852199704,49.851851851851855,158,158,160,173,649,1350,7.810182896688087,7.810182896688087,7.909045971329709,8.551655956500246,32.08106772120613,48.074074074074076,115,5.684626791893228,0.0,0.0,haddattawa,1.0,8.186472642903457,4.985117747203332,8.186472642903457,4.985117747203332,1,False,False,False
Meegahahena,1K,1682,160,150,135,130,112,143,135,119,131,100,121,84,66,43,25,17,7,1,1,2,Badulla,Meegahahena,meegahahena,Meegahahena,Meegahahena,1,1.0,AUTO_MATCH_OK,,445,1075,162,26.456599286563616,63.912009512485135,9.63139120095125,56.46511627906977,160,150,135,130,575,1075,9.512485136741974,8.9179548156956,8.02615933412604,7.728894173602854,34.18549346016647,53.48837209302325,96,5.707491082045184,0.0,0.0,meegahahena,1.0,6.885273303705775,6.157655386287862,6.885273303705775,6.157655386287862,1,False,False,False
Galporuyaya,1B,2479,242,189,225,246,222,225,198,170,161,149,122,87,84,53,33,25,28,11,3,6,Badulla,Galporuyaya,galporuyaya,Galporuyaya,Galporuyaya,1,1.0,AUTO_MATCH_OK,,656,1580,243,26.46228317870109,63.73537716821299,9.802339653085921,56.898734177215196,242,189,225,246,902,1580,9.762000806776925,7.624041952400161,9.076240419524002,9.923356192012909,36.385639370713996,57.08860759493671,159,6.4138765631302945,0.0,0.0,galporuyaya,1.0,4.664115946139583,7.086446860894551,4.664115946139583,7.086446860894551,1,False,False,False
Beligalla,7,2405,251,201,205,240,204,213,179,162,169,166,145,93,67,41,29,22,8,3,2,5,Badulla,Beligalla,beligalla,Beligalla,Beligalla,1,1.0,AUTO_MATCH_OK,,657,1571,177,27.31808731808732,65.32224532224532,7.35966735966736,53.087205601527685,251,201,205,240,897,1571,10.436590436590437,8.357588357588359,8.523908523908524,9.97920997920998,37.2972972972973,57.09739019732655,110,4.5738045738045745,1.0,0.0,beligalla,1.0,10.508997131166696,1.1982263815574907,10.508997131166696,1.1982263815574907,1,False,False,False
Dambana,7A,2179,226,208,209,185,192,195,193,161,133,136,115,83,53,33,29,14,8,3,1,2,Badulla,Dambana,dambana,Dambana,Dambana,1,1.0,AUTO_MATCH_OK,,643,1393,143,29.508949059201466,63.928407526388256,6.56264341441028,56.424982053122754,226,208,209,185,828,1393,10.371730151445616,9.545663148233134,9.591555759522716,8.490133088572739,37.99908214777421,59.44005743000717,90,4.130335016062414,1.0,0.0,dambana,1.0,12.691232766852483,4.841411561005245,12.691232766852483,4.841411561005245,0,False,False,False
Kukulapola,8,1242,126,110,105,111,108,128,118,93,66,68,64,52,34,29,18,5,4,2,1,0,Badulla,Kukulapola,kukulapola,Kukulapola,Kukulapola,1,1.0,AUTO_MATCH_OK,,341,808,93,27.455716586151368,65.05636070853463,7.487922705314009,53.71287128712871,126,110,105,111,452,808,10.144927536231885,8.856682769726248,8.454106280193237,8.937198067632849,36.39291465378422,55.940594059405946,59,4.750402576489534,0.0,0.0,kukulapola,1.0,16.998996369061842,4.504211993190568,16.998996369061842,4.504211993190568,1,False,False,False
Wewatta,8A,1881,211,176,154,179,167,176,151,146,118,123,93,70,52,27,26,8,1,2,1,0,Badulla,Wewatta,wewatta,Wewatta,Wewatta,1,1.0,AUTO_MATCH_OK,,541,1223,117,28.761297182349814,65.01860712387028,6.220095693779904,53.80212591986917,211,176,154,179,720,1223,11.217437533227006,9.35672514619883,8.187134502923977,9.516214779372675,38.27751196172249,58.871627146361405,65,3.455608718766613,0.0,0.0,wewatta,1.0,14.921098538309046,12.010676602957645,14.921098538309046,12.010676602957645,1,True,False,True
Thalangamuwa,2C,2004,177,165,186,178,178,153,196,161,143,134,110,82,66,31,21,10,7,3,0,3,Badulla,Thalangamuwa,thalangamuwa,Thalangamuwa,Thalangamuwa,1,1.0,AUTO_MATCH_OK,,528,1335,141,26.34730538922156,66.61676646706587,7.0359281437125745,50.112359550561806,177,165,186,178,706,1335,8.832335329341317,8.233532934131736,9.281437125748502,8.882235528942116,35.22954091816367,52.88389513108614,75,3.74251497005988,0.0,0.0,thalangamuwa,1.0,7.146798496347695,4.464063903150575,7.146798496347695,4.464063903150575,1,False,False,False
Sorabora,2B,1978,156,194,182,153,138,168,195,160,125,114,114,95,91,44,28,12,3,4,2,0,Badulla,Sorabora,sorabora,Sorabora,Sorabora,1,1.0,AUTO_MATCH_OK,,532,1262,184,26.895854398382202,63.80182002022244,9.30232558139535,56.735340729001585,156,194,182,153,685,1262,7.886754297269969,9.80788675429727,9.201213346814964,7.735085945399393,34.630940343781596,54.27892234548336,93,4.701718907987867,1.0,0.0,sorabora,1.0,3.945131646953488,0.9289979484617504,3.945131646953488,0.9289979484617504,1,False,False,False
Wewgampaha,2,3350,283,299,271,274,273,287,314,256,256,223,187,161,90,84,42,26,13,8,0,3,Badulla,Wewgampaha,wewgampaha,Wewgampaha,Wewgampaha,1,1.0,AUTO_MATCH_OK,,853,2231,266,25.462686567164177,66.59701492537313,7.940298507462687,50.156880322725236,283,299,271,274,1127,2231,8.447761194029852,8.925373134328359,8.08955223880597,8.17910447761194,33.64179104477612,50.51546391752577,176,5.253731343283582,0.0,0.0,wewgampaha,1.0,3.121900557207958,1.22639534463927,3.121900557207958,1.22639534463927,1,False,False,False
Dehigolla,3B,2285,219,216,189,180,199,191,216,172,163,134,133,91,65,41,40,22,8,4,2,0,Badulla,Dehigolla,dehigolla,Dehigolla,Dehigolla,1,1.0,AUTO_MATCH_OK,,624,1479,182,27.308533916849015,64.72647702407002,7.964989059080962,54.49628127112914,219,216,189,180,804,1479,9.584245076586432,9.452954048140045,8.271334792122538,7.87746170678337,35.18599562363239,54.361054766734284,117,5.12035010940919,1.0,0.0,dehigolla,1.0,4.515800965918321,1.6461215784156682,4.515800965918321,1.6461215784156682,1,False,False,False
Elewela,3C,2329,231,218,174,191,190,187,217,186,170,157,121,96,74,50,30,20,8,6,1,2,Badulla,Elewela,elewela,Elewela,Elewela,1,1.0,AUTO_MATCH_OK,,623,1515,191,26.749677973379132,65.04937741519966,8.20094461142121,53.72937293729373,231,218,174,191,814,1515,9.918419922713612,9.360240446543582,7.471017604121941,8.20094461142121,34.95062258480034,53.72937293729373,117,5.02361528553027,1.0,0.0,elewela,1.0,2.4256843416726026,0.3367167317050807,2.4256843416726026,0.3367167317050807,1,False,False,False
Mahiyanganaya Town,3A,2700,196,231,176,198,219,286,271,226,234,179,161,128,71,51,33,21,13,5,0,1,Badulla,Mahiyanganaya Town,mahiyanganaya town,Mahiyanganaya Town,Mahiyanganaya Town,1,1.0,AUTO_MATCH_OK,,603,1902,195,22.333333333333332,70.44444444444444,7.222222222222221,41.95583596214511,196,231,176,198,801,1902,7.2592592592592595,8.555555555555555,6.518518518518518,7.333333333333333,29.666666666666668,42.11356466876971,124,4.592592592592593,0.0,2.0,mahiyanganayatown,1.0,1.2486094683756086,1.9524100720541575,1.2486094683756086,1.9524100720541575,1,False,False,False
Poojanagaraya,3D,2248,210,179,167,188,180,245,200,171,165,161,128,96,67,47,13,20,7,2,1,1,Badulla,Poojanagaraya,poojanagaraya,Poojanagaraya,Poojanagaraya,1,1.0,AUTO_MATCH_OK,,556,1534,158,24.733096085409255,68.23843416370107,7.02846975088968,46.544980443285525,210,179,167,188,744,1534,9.341637010676157,7.962633451957295,7.4288256227758005,8.362989323843415,33.096085409252666,48.5006518904824,91,4.048042704626335,0.0,2.0,poojanagaraya,1.0,0.7310754976926338,2.289409511488267,0.7310754976926338,2.289409511488267,1,False,False,False
Dambarawa,3,2113,196,194,165,171,181,177,167,149,164,155,122,108,67,42,13,22,13,6,1,0,Badulla,Dambarawa,dambarawa,Dambarawa,Dambarawa,1,1.0,AUTO_MATCH_OK,,555,1394,164,26.26597255087553,65.97255087553242,7.7614765735920495,51.57819225251076,196,194,165,171,726,1394,9.275911026975864,9.181258873639376,7.808802650260294,8.092759110269759,34.35873166114529,52.08034433285509,97,4.590629436819688,0.0,2.0,dambarawa,1.0,2.76775691616484,1.8425111140597532,2.76775691616484,1.8425111140597532,1,False,False,False
Senanigama,4D,2202,200,197,167,197,158,151,173,148,179,158,140,133,65,46,32,28,22,6,2,0,Badulla,Senanigama,senanigama,Senanigama,Senanigama,1,1.0,AUTO_MATCH_OK,,564,1437,201,25.61307901907357,65.25885558583107,9.128065395095367,53.23590814196242,200,197,167,197,761,1437,9.08265213442325,8.946412352406902,7.5840145322434145,8.946412352406902,34.55949137148047,52.95755045233125,136,6.176203451407812,0.0,2.0,senanigama,1.0,3.816827349957745,1.82275678844458,3.816827349957745,1.82275678844458,1,False,False,False
Mapakadawewa,4A,2720,253,222,225,231,191,216,223,228,218,173,167,130,91,64,33,29,16,7,1,2,Badulla,Mapakadawewa,mapakadawewa,Mapakadawewa,Mapakadawewa,1,1.0,AUTO_MATCH_OK,,700,1777,243,25.735294117647058,65.33088235294117,8.933823529411764,53.06696679797411,253,222,225,231,931,1777,9.301470588235293,8.161764705882353,8.272058823529411,8.492647058823529,34.22794117647059,52.39167135621835,152,5.588235294117648,1.0,0.0,mapakadawewa,1.0,5.29789934295242,0.1431941211594463,5.29789934295242,0.1431941211594463,1,False,False,False
Pangaragammana,4,2076,242,250,205,200,153,156,193,127,111,111,106,93,52,31,24,11,5,3,1,2,Badulla,Pangaragammana,pangaragammana,Pangaragammana,Pangaragammana,1,1.0,AUTO_MATCH_OK,,697,1250,129,33.57418111753372,60.211946050096344,6.213872832369942,66.08000000000001,242,250,205,200,897,1250,11.657032755298651,12.042389210019268,9.8747591522158,9.633911368015415,43.20809248554913,71.76,77,3.7090558766859343,0.0,2.0,pangaragammana,1.0,5.040667437845859,1.5994927153818468,5.040667437845859,1.5994927153818468,0,False,False,False
Dambagolla,4C,1993,213,183,166,190,230,162,165,116,137,128,116,79,50,19,23,11,4,1,0,0,Badulla,Dambagolla,dambagolla,Dambagolla,Dambagolla,1,1.0,AUTO_MATCH_OK,,562,1323,108,28.198695434019065,66.38233818364276,5.4189663823381835,50.64247921390779,213,183,166,190,752,1323,10.68740592072253,9.182137481184144,8.329152032112393,9.533366783743102,37.73206221776217,56.840513983371125,58,2.91018564977421,2.0,0.0,dambagolla,1.0,9.177516089283005,1.3583172323920731,9.177516089283005,1.3583172323920731,1,False,False,False
Medayaya,4B,1439,127,127,119,129,123,136,119,102,99,104,85,60,48,20,19,12,6,1,2,1,Badulla,Medayaya,medayaya,Medayaya,Medayaya,1,1.0,AUTO_MATCH_OK,,373,957,109,25.920778318276582,66.50451702571229,7.574704656011119,50.36572622779519,127,127,119,129,502,957,8.825573314801947,8.825573314801947,8.269631688672689,8.96455872133426,34.88533703961084,52.45559038662487,61,4.2390548992355805,0.0,0.0,medayaya,1.0,8.095211150693814,2.869585401545073,8.095211150693814,2.869585401545073,1,False,False,False
Orubendiwewa,02D,1698,170,137,152,176,181,158,147,105,126,100,72,62,53,17,14,18,7,2,1,0,Badulla,Orubendiwewa,orubendiwewa,Orubendiwewa,Orubendiwewa,1,1.0,AUTO_MATCH_OK,,459,1127,112,27.03180212014134,66.37220259128387,6.595995288574794,50.66548358473825,170,137,152,176,635,1127,10.011778563015312,8.06831566548881,8.95170789163722,10.365135453474677,37.396937573616015,56.34427684117125,59,3.4746760895170787,0.0,0.0,orubendiwewa,1.0,9.64292666694532,3.6839560273257272,9.64292666694532,3.6839560273257272,1,False,False,False
Sangabopura,02K,1298,118,106,109,112,127,99,97,107,89,93,62,42,32,36,27,17,12,9,4,0,Badulla,Sangabopura,sangabopura,Sangabopura,Sangabopura,1,1.0,AUTO_MATCH_OK,,333,828,137,25.654853620955315,63.790446841294305,10.554699537750386,56.763285024154584,118,106,109,112,445,828,9.090909090909092,8.166409861325114,8.39753466872111,8.628659476117104,34.28351309707242,53.74396135265701,105,8.089368258859784,0.0,0.0,sangabopura,1.0,8.26036467630586,4.862744351405399,8.26036467630586,4.862744351405399,1,False,False,False
Welampele,02E,2106,227,194,186,225,186,190,166,123,155,154,103,83,46,33,22,9,2,0,1,1,Badulla,Welampele,welampele,Welampele,Welampele,1,1.0,AUTO_MATCH_OK,,607,1385,114,28.822412155745493,65.76448243114909,5.413105413105413,52.05776173285198,227,194,186,225,832,1385,10.778727445394113,9.211775878442545,8.831908831908832,10.683760683760683,39.50617283950617,60.07220216606498,68,3.2288698955365627,0.0,0.0,welampele,1.0,11.091351376872373,3.174855421677674,11.091351376872373,3.174855421677674,1,False,False,False
Keselpotha North,02B,1960,189,157,191,177,183,149,145,144,143,120,94,76,79,39,31,21,9,9,2,2,Badulla,Keselpotha North,keselpotha north,Keselpotha North,Keselpotha North,1,1.0,AUTO_MATCH_OK,,537,1231,192,27.39795918367347,62.80612244897959,9.795918367346939,59.22014622258327,189,157,191,177,714,1231,9.642857142857144,8.010204081632653,9.744897959183675,9.03061224489796,36.42857142857142,58.001624695369614,113,5.76530612244898,0.0,0.0,keselpothanorth,1.0,12.34913261179002,5.1374014479173065,12.34913261179002,5.1374014479173065,1,False,False,False
Ikiriyagoda,02G,1464,93,145,141,196,135,107,98,117,111,95,73,41,32,31,19,8,12,6,2,2,Badulla,Ikiriyagoda,ikiriyagoda,Ikiriyagoda,Ikiriyagoda,1,1.0,AUTO_MATCH_OK,,379,973,112,25.887978142076502,66.46174863387978,7.650273224043716,50.46248715313464,93,145,141,196,575,973,6.352459016393443,9.904371584699453,9.631147540983607,13.387978142076504,39.275956284153004,59.0955806783145,80,5.46448087431694,0.0,0.0,ikiriyagoda,1.0,11.258151203404209,7.495691385479791,11.258151203404209,7.495691385479791,1,False,False,False
Kandubedda,09D,882,79,79,77,94,84,81,67,65,63,55,49,28,23,19,7,9,2,1,0,0,Badulla,Kandubedda,kandubedda,Kandubedda,Kandubedda,1,1.0,AUTO_MATCH_OK,,235,586,61,26.643990929705215,66.43990929705215,6.91609977324263,50.51194539249146,79,79,77,94,329,586,8.956916099773244,8.956916099773244,8.73015873015873,10.657596371882086,37.301587301587304,56.14334470989761,38,4.308390022675737,0.0,0.0,kandubedda,1.0,13.7568520309007,9.830912179338815,13.7568520309007,9.830912179338815,1,True,False,True
Aralupitiya,09C,1062,101,104,86,109,74,77,87,66,86,63,62,53,28,30,14,12,6,3,0,1,Badulla,Aralupitiya,aralupitiya,Aralupitiya,Aralupitiya,1,1.0,AUTO_MATCH_OK,,291,677,94,27.401129943502823,63.74764595103578,8.851224105461393,56.868537666174305,101,104,86,109,400,677,9.51035781544256,9.792843691148775,8.097928436911488,10.263653483992467,37.664783427495294,59.08419497784343,66,6.214689265536723,0.0,0.0,aralupitiya,1.0,16.736129093833153,17.592364570929174,16.736129093833153,17.592364570929174,1,True,False,True
Ekiriyankumbura,9,1322,125,142,110,119,97,128,121,81,67,85,54,57,54,42,16,12,5,4,1,2,Badulla,Ekiriyankumbura,ekiriyankumbura,Ekiriyankumbura,Ekiriyankumbura,1,1.0,AUTO_MATCH_OK,,377,809,136,28.517397881996974,61.195158850226925,10.287443267776098,63.41161928306551,125,142,110,119,496,809,9.4553706505295,10.741301059001513,8.32072617246596,9.001512859304086,37.518910741301056,61.310259579728054,82,6.202723146747353,0.0,0.0,ekiriyankumbura,1.0,12.68459340539266,20.73849085728403,12.68459340539266,20.73849085728403,0,True,False,True
Dehigama,09A,2130,193,189,183,203,161,183,188,154,148,115,121,93,83,49,23,25,14,3,1,1,Badulla,Dehigama,dehigama,Dehigama,Dehigama,1,1.0,AUTO_MATCH_OK,,565,1366,199,26.525821596244132,64.13145539906104,9.342723004694836,55.92972181551976,193,189,183,203,768,1366,9.061032863849764,8.87323943661972,8.591549295774648,9.530516431924882,36.056338028169016,56.22254758418741,116,5.446009389671361,0.0,0.0,dehigama,1.0,8.750296488170948,19.29739629847447,8.750296488170948,19.29739629847447,1,False,False,False
Morana,09B,378,34,43,44,33,28,39,26,23,21,32,18,15,9,3,5,1,3,0,1,0,Badulla,Morana,morana,Morana,Morana,1,1.0,AUTO_MATCH_OK,,121,235,22,32.01058201058201,62.16931216931217,5.82010582010582,60.851063829787236,34,43,44,33,154,235,8.994708994708994,11.375661375661375,11.64021164021164,8.73015873015873,40.74074074074074,65.53191489361701,13,3.439153439153439,0.0,0.0,morana,1.0,9.642244737759972,13.489637599257897,9.642244737759972,13.489637599257897,0,True,False,True
Kudalunuka,10A,1014,104,93,83,98,94,86,93,88,62,60,51,28,20,21,16,12,4,1,0,0,Badulla,Kudalunuka,kudalunuka,Kudalunuka,Kudalunuka,1,1.0,AUTO_MATCH_OK,,280,660,74,27.613412228796847,65.08875739644971,7.297830374753452,53.63636363636364,104,93,83,98,378,660,10.256410256410255,9.171597633136095,8.185404339250493,9.664694280078894,37.278106508875744,57.27272727272727,54,5.325443786982249,0.0,0.0,kudalunuka,1.0,7.176965884654148,12.905116989309652,7.176965884654148,12.905116989309652,1,True,False,True
Aluketiyawa,6,590,62,42,43,51,54,47,44,46,43,39,31,32,25,10,10,8,2,1,0,0,Badulla,Aluketiyawa,aluketiyawa,Aluketiyawa,Aluketiyawa,1,1.0,AUTO_MATCH_OK,,147,387,56,24.91525423728814,65.59322033898304,9.491525423728813,52.4547803617571,62,42,43,51,198,387,10.508474576271185,7.118644067796611,7.288135593220339,8.64406779661017,33.559322033898304,51.162790697674424,31,5.2542372881355925,0.0,0.0,aluketiyawa,1.0,8.922852732220933,9.9734230573287,8.922852732220933,9.9734230573287,1,False,False,False
Keselpotha South,02F,1630,158,149,135,160,142,116,141,128,122,107,63,62,53,42,31,9,8,2,2,0,Badulla,Keselpotha South,keselpotha south,Keselpotha South,Keselpotha South,1,1.0,AUTO_MATCH_OK,,442,1041,147,27.116564417177912,63.86503067484662,9.01840490797546,56.58021133525456,158,149,135,160,602,1041,9.69325153374233,9.141104294478527,8.282208588957054,9.815950920245399,36.93251533742331,57.829010566762726,94,5.766871165644172,0.0,0.0,keselpothasouth,1.0,10.294508302544928,7.410514603154691,10.294508302544928,7.410514603154691,1,False,False,False
Serana,02C,2132,190,184,191,201,186,168,176,191,160,120,101,74,82,56,27,15,8,2,0,0,Badulla,Serana,serana,Serana,Serana,1,1.0,AUTO_MATCH_OK,,565,1377,190,26.50093808630394,64.58724202626641,8.911819887429644,54.82933914306464,190,184,191,201,766,1377,8.911819887429644,8.630393996247655,8.958724202626641,9.427767354596622,35.92870544090056,55.62817719680465,108,5.065666041275797,0.0,0.0,serana,1.0,6.68066086540864,3.364492509564987,6.68066086540864,3.364492509564987,1,False,False,False
