area_name,gn_number,total,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89,90_94,95_plus,district,gn_name_pop,name_norm,Name,gn_name_boundary,pop_name_count,bnd_name_count,match_status,final_boundary_name,children,working,elderly,p_children,p_working,p_elderly_60plus,dependency_ratio,preschool,primary,junior_secondary,senior_secondary_plus,total_school_age,working_age_15_59,p_preschool,p_primary,p_junior_sec,p_senior_plus,p_school_age,education_dependency_ratio,elderly_65plus,p_elderly,Edu_Count,Health_Count,name_key,n_polygons,dist_hospital_km,dist_school_km,dist_hospital_max,dist_school_max,cluster_kmeans,priority_education,priority_health,priority_dual
Kanawerella East,87D,1954,193,217,193,139,133,126,129,97,113,127,153,107,84,61,31,34,11,4,1,1,Badulla,Kanawerella East,kanawerella east,Kanawerella East,Kanawerella East,1,1.0,AUTO_MATCH_OK,,603,1124,227,30.859774820880247,57.52302968270215,11.617195496417605,73.84341637010677,193,217,193,139,742,1124,9.877175025588535,11.105424769703173,9.877175025588535,7.113613101330604,37.97338792221085,66.01423487544484,143,7.318321392016376,0.0,0.0,kanawerellaeast,1.0,5.625258808345548,4.21820143206242,5.625258808345548,4.21820143206242,0,False,False,False
Bibilegama West,87B,1090,98,106,110,92,66,70,61,56,67,92,79,63,36,28,32,29,2,1,2,0,Badulla,Bibilegama West,bibilegama west,Bibilegama West,Bibilegama West,1,1.0,AUTO_MATCH_OK,,314,646,130,28.807339449541285,59.26605504587156,11.926605504587156,68.73065015479877,98,106,110,92,406,646,8.990825688073395,9.724770642201836,10.091743119266056,8.440366972477065,37.247706422018354,62.848297213622295,94,8.623853211009175,0.0,0.0,bibilegamawest,1.0,5.46167525167583,3.438476524639084,5.46167525167583,3.438476524639084,0,False,False,False
Wewekele,87G,380,47,42,43,26,20,30,27,13,27,25,18,22,19,11,4,2,2,1,1,0,Badulla,Wewekele,wewekele,Wewekele,Wewekele,1,1.0,AUTO_MATCH_OK,,132,208,40,34.73684210526316,54.736842105263165,10.526315789473683,82.6923076923077,47,42,43,26,158,208,12.368421052631579,11.052631578947368,11.31578947368421,6.842105263157896,41.578947368421055,75.96153846153845,21,5.526315789473684,0.0,0.0,wewekele,1.0,5.825702900463923,2.757835750115736,5.825702900463923,2.757835750115736,0,False,False,False
Bibilegama East,87E,385,26,33,35,28,16,26,20,34,36,21,23,22,18,17,16,10,2,1,0,1,Badulla,Bibilegama East,bibilegama east,Bibilegama East,Bibilegama East,1,1.0,AUTO_MATCH_OK,,94,226,65,24.415584415584416,58.7012987012987,16.883116883116884,70.35398230088495,26,33,35,28,122,226,6.753246753246753,8.571428571428571,9.090909090909092,7.2727272727272725,31.68831168831169,53.98230088495575,47,12.207792207792208,0.0,0.0,bibilegamaeast,1.0,4.804985367525859,3.357385361521449,4.804985367525859,3.357385361521449,0,False,False,False
Maussagolla East,87F,1144,114,102,100,88,93,70,80,61,64,80,92,67,46,32,19,16,14,3,2,1,Badulla,Maussagolla East,maussagolla east,Maussagolla East,Maussagolla East,1,1.0,AUTO_MATCH_OK,,316,695,133,27.62237762237762,60.75174825174825,11.625874125874127,64.60431654676259,114,102,100,88,404,695,9.965034965034965,8.916083916083917,8.741258741258742,7.6923076923076925,35.31468531468531,58.1294964028777,87,7.604895104895106,0.0,0.0,maussagollaeast,1.0,3.6009462012676674,3.674444086347177,3.6009462012676674,3.674444086347177,0,False,False,False
Dambewela,88E,573,44,54,45,42,36,49,35,34,36,47,43,39,29,17,11,9,1,1,1,0,Badulla,Dambewela,dambewela,Dambewela,Dambewela,1,1.0,AUTO_MATCH_OK,,143,361,69,24.956369982547994,63.00174520069808,12.041884816753926,58.72576177285319,44,54,45,42,185,361,7.678883071553229,9.424083769633508,7.853403141361256,7.329842931937172,32.28621291448517,51.24653739612188,40,6.980802792321117,0.0,0.0,dambewela,1.0,3.108929368555285,3.138640362632383,3.108929368555285,3.138640362632383,1,False,False,False
Ekiriya,17,913,79,67,71,87,69,55,60,52,71,62,76,49,43,30,20,15,1,5,1,0,Badulla,Ekiriya,ekiriya,Ekiriya,Ekiriya,1,1.0,AUTO_MATCH_OK,,217,581,115,23.767798466593646,63.63636363636363,12.595837897042717,57.14285714285714,79,67,71,87,304,581,8.652792990142387,7.338444687842278,7.776560788608982,9.529025191675794,33.29682365826944,52.323580034423415,72,7.886089813800658,0.0,0.0,ekiriya,1.0,7.619302826576571,6.19776070550005,7.619302826576571,6.19776070550005,1,False,False,False
Metigahathenna,18,928,69,65,65,79,57,54,58,47,69,69,69,48,56,38,37,24,13,8,1,2,Badulla,Metigahathenna,metigahathenna,Metigahathenna,Metigahathenna,1,1.0,AUTO_MATCH_OK,,199,550,179,21.443965517241377,59.26724137931034,19.288793103448278,68.72727272727272,69,65,65,79,278,550,7.435344827586207,7.004310344827585,7.004310344827585,8.512931034482758,29.95689655172414,50.54545454545455,123,13.254310344827585,0.0,0.0,metigahathenna,1.0,7.706443574088607,7.746349803423461,7.706443574088607,7.746349803423461,1,False,True,True
Galwelagama,18C,330,25,21,31,19,23,23,21,28,26,24,19,17,17,16,9,6,1,0,3,1,Badulla,Galwelagama,galwelagama,Galwelagama,Galwelagama,1,1.0,AUTO_MATCH_OK,,77,200,53,23.333333333333332,60.60606060606061,16.060606060606062,65.0,25,21,31,19,96,200,7.575757575757576,6.363636363636363,9.393939393939393,5.757575757575758,29.09090909090909,48.0,36,10.909090909090908,0.0,0.0,galwelagama,1.0,8.322729924404662,5.825520023158613,8.322729924404662,5.825520023158613,1,False,True,True
Wewabedda,18A,1652,191,190,163,85,61,97,120,103,100,118,105,89,73,65,42,38,10,2,0,0,Badulla,Wewabedda,wewabedda,Wewabedda,Wewabedda,1,1.0,AUTO_MATCH_OK,,544,878,230,32.92978208232446,53.14769975786925,13.922518159806296,88.15489749430525,191,190,163,85,629,878,11.561743341404359,11.501210653753027,9.86682808716707,5.145278450363197,38.07506053268765,71.64009111617312,157,9.50363196125908,0.0,0.0,wewabedda,1.0,6.938776327748061,9.222013707702088,6.938776327748061,9.222013707702088,0,True,False,True
Janathapura North,95A,476,46,33,31,40,23,26,31,39,40,25,34,34,29,16,14,10,0,4,1,0,Badulla,Janathapura North,janathapura north,Janathapura North,Janathapura North,1,1.0,AUTO_MATCH_OK,,110,292,74,23.10924369747899,61.34453781512605,15.546218487394958,63.013698630136986,46,33,31,40,150,292,9.663865546218489,6.932773109243698,6.512605042016808,8.403361344537815,31.512605042016805,51.369863013698634,45,9.453781512605042,0.0,0.0,janathapuranorth,1.0,4.174747795041897,10.250421656841436,4.174747795041897,10.250421656841436,1,False,False,False
Arawakumbura,94C,1529,144,144,137,110,84,106,95,86,106,108,98,98,72,66,39,20,12,2,2,0,Badulla,Arawakumbura,arawakumbura,Arawakumbura,Arawakumbura,1,1.0,AUTO_MATCH_OK,,425,891,213,27.79594506213211,58.27338129496403,13.93067364290386,71.60493827160494,144,144,137,110,535,891,9.417920209287116,9.417920209287116,8.960104643557882,7.194244604316546,34.99018966644866,60.04489337822672,141,9.221713538260301,0.0,0.0,arawakumbura,1.0,5.246045959047026,13.049343487058042,5.246045959047026,13.049343487058042,0,False,False,False
Udakiruwa,92A,385,32,38,28,27,30,25,17,21,31,36,31,25,12,9,13,4,2,1,2,1,Badulla,Udakiruwa,udakiruwa,Udakiruwa,Udakiruwa,1,1.0,AUTO_MATCH_OK,,98,243,44,25.454545454545453,63.116883116883116,11.428571428571429,58.43621399176955,32,38,28,27,125,243,8.311688311688311,9.87012987012987,7.2727272727272725,7.012987012987012,32.467532467532465,51.440329218106996,32,8.311688311688311,0.0,0.0,udakiruwa,1.0,3.950298644180412,13.44685123903673,3.950298644180412,13.44685123903673,1,False,False,False
Alakolagala,94E,970,101,73,77,76,65,77,63,52,65,76,63,49,36,39,23,23,6,4,1,1,Badulla,Alakolagala,alakolagala,,,2,,UNMATCHED,alakolagala,251,586,133,25.87628865979382,60.41237113402062,13.711340206185568,65.52901023890784,101,73,77,76,327,586,10.412371134020619,7.525773195876289,7.9381443298969065,7.835051546391752,33.71134020618557,55.80204778156996,97,10.0,0.0,0.0,alakolagala,2.0,5.1192279923076836,8.78224131848857,6.770164865882976,12.920787187517472,1,False,False,False
Udapanguwa,94,1576,172,178,139,128,86,97,99,88,107,105,97,89,76,50,29,20,11,4,1,0,Badulla,Udapanguwa,udapanguwa,Udapanguwa,Udapanguwa,1,1.0,AUTO_MATCH_OK,,489,896,191,31.027918781725887,56.852791878172596,12.119289340101522,75.89285714285714,172,178,139,128,617,896,10.913705583756345,11.294416243654823,8.819796954314722,8.121827411167512,39.1497461928934,68.86160714285714,115,7.296954314720812,0.0,0.0,udapanguwa,1.0,1.938406484069079,12.307493544970772,1.938406484069079,12.307493544970772,0,True,False,True
