,dist_hospital_km,dist_school_km,p_children,p_elderly,p_school_age,dependency_ratio,total
dist_hospital_km,1.0,0.5935024316267641,0.05632799771037673,-0.32635181987929057,0.10680539912023194,-0.2379471793239723,0.12937547135924146
dist_school_km,0.5935024316267641,1.0,0.11237800365302554,-0.40130387273634616,0.1677589039763119,-0.2526984872252051,-0.05683965255663429
p_children,0.05632799771037673,0.11237800365302554,1.0,-0.3375318897027489,0.8878599127419775,0.5644316150251638,0.11707889498826093
p_elderly,-0.32635181987929057,-0.40130387273634616,-0.3375318897027489,1.0,-0.4501789017303858,0.5407103239715394,-0.17706410650487298
p_school_age,0.10680539912023194,0.1677589039763119,0.8878599127419775,-0.4501789017303858,1.0,0.3380128588923427,0.1453674038222152
dependency_ratio,-0.2379471793239723,-0.2526984872252051,0.5644316150251638,0.5407103239715394,0.3380128588923427,1.0,-0.044847374952258434
total,0.12937547135924146,-0.05683965255663429,0.11707889498826093,-0.17706410650487298,0.1453674038222152,-0.044847374952258434,1.0
