,p_preschool,p_preschool,p_preschool,p_primary,p_primary,p_primary,p_junior_sec,p_junior_sec,p_junior_sec,p_senior_plus,p_senior_plus,p_senior_plus,total,total,total
,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count
cluster_kmeans,,,,,,,,,,,,,,,
0,9.751491117086648,9.80091883614089,347,9.98630602687052,9.872102318145485,347,8.906333151933273,8.78186968838527,347,7.518359454296205,7.502206531332744,347,1437.1556195965418,1293.0,347
1,8.736756617882875,8.78186968838527,537,8.528151898630874,8.643549209586945,537,8.087286768588966,8.081632653061224,537,8.677773296815479,8.618899273104882,537,1425.4990689013036,1228.0,537
