,PC1,PC2
p_preschool,0.3204065479654991,-0.35979594134777043
p_primary,0.5352630674230382,0.046394776016805944
p_junior_sec,0.3691886724250435,0.598235385147015
p_senior_plus,-0.3263034815103124,0.5552319714983116
dependency_ratio,0.5994264895866608,0.014554997805740759
log_total,0.09352399886022925,0.4494601641647427
